time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene
26_04_2021 14h23min40seg,1,1,4053,200,25,1550,1125,50,400,3085,168,1035,111,1925,0
26_04_2021 14h25min39seg,1,1,4357,291,47,1550,1075,0,400,3275,332,867,156,2025,0
26_04_2021 14h27min34seg,2,1,6677,567,143,1775,1000,100,400,5310,592,1007,156,2025,150
26_04_2021 14h29min24seg,1,1,4685,362,48,1550,1275,100,400,3355,380,1063,156,1875,50
26_04_2021 14h34min40seg,1,1,4805,316,98,1600,1300,0,400,3555,200,1091,179,1925,50
26_04_2021 14h39min58seg,1,1,4588,972,131,2050,1375,0,400,3970,468,979,134,3075,300
26_04_2021 14h41min04seg,2,1,4334,262,168,1300,1075,150,400,3120,164,895,67,1575,0
26_04_2021 14h45min31seg,1,1,4138,519,19,1825,1375,0,400,3215,448,895,156,2725,200
26_04_2021 14h48min18seg,1,1,4123,363,32,1625,1300,100,400,3100,148,1007,44,2175,100
26_04_2021 14h51min38seg,1,1,6696,1239,124,2400,1375,1500,1375,5690,856,951,179,3125,225
26_04_2021 14h56min26seg,1,-1,6865,3809,430,4700,1450,4050,0,10755,2060,0,0,5575,425
